Регион,Случаи заболевания,Выздоровело,Умерло,Дата
Республика Алтай,8,0,0,21.04.2020
Чукотский автономный округ,2,0,0,21.04.2020
Ненецкий автономный округ,1,0,0,21.04.2020
Москва,31981,2267,261,22.04.2020
Московская область,6590,186,56,22.04.2020
Санкт-Петербург,2267,327,14,22.04.2020
Нижегородская область,929,49,6,22.04.2020
Ленинградская область,537,24,0,22.04.2020
Республика Коми,527,21,4,22.04.2020
Мурманская область,506,56,3,22.04.2020
Краснодарский край,481,72,11,22.04.2020
Тульская область,436,49,2,22.04.2020
Республика Дагестан,417,43,11,22.04.2020
Брянская область,399,62,1,22.04.2020
Ростовская область,398,15,0,22.04.2020
Республика Ингушетия,397,38,12,22.04.2020
Республика Башкортостан,396,34,14,22.04.2020
Рязанская область,392,15,0,22.04.2020
Красноярский край,392,28,2,22.04.2020
Республика Мордовия,357,11,1,22.04.2020
Тверская область,356,15,0,22.04.2020
Республика Татарстан,355,33,0,22.04.2020
Республика Марий Эл,333,46,1,22.04.2020
Калужская область,330,9,8,22.04.2020
Чеченская Республика,323,19,6,22.04.2020
Тюменская область,319,28,2,22.04.2020
Владимирская область,293,11,5,22.04.2020
Ставропольский край,277,37,5,22.04.2020
Курская область,276,26,3,22.04.2020
Хабаровский край,272,18,5,22.04.2020
Пермский край,266,37,3,22.04.2020
Республика Чувашия,262,14,5,22.04.2020
Оренбургская область,254,32,2,22.04.2020
Смоленская область,244,4,2,22.04.2020
Свердловская область,243,60,1,22.04.2020
Тамбовская область,240,14,0,22.04.2020
Орловская область,238,10,2,22.04.2020
Воронежская область,236,30,7,22.04.2020
Ивановская область,225,12,2,22.04.2020
Кировская область,216,18,3,22.04.2020
Липецкая область,213,62,2,22.04.2020
Республика Северная Осетия — Алания,211,8,2,22.04.2020
Ханты-Мансийский АО,203,29,1,22.04.2020
Ярославская область,198,17,0,22.04.2020
Пензенская область,196,6,5,22.04.2020
Ульяновская область,196,5,2,22.04.2020
Кабардино-Балкарская Республика,193,11,1,22.04.2020
Саратовская область,190,19,0,22.04.2020
Приморский край,166,11,2,22.04.2020
Калининградская область,163,42,1,22.04.2020
Республика Бурятия,153,49,2,22.04.2020
Удмуртская Республика,152,8,3,22.04.2020
Новосибирская область,151,20,4,22.04.2020
Ямало-Ненецкий автономный округ,149,22,1,22.04.2020
Астраханская область,148,13,3,22.04.2020
Волгоградская область,145,30,2,22.04.2020
Карачаево-Черкесская Республика,145,1,0,22.04.2020
Белгородская область,144,12,2,22.04.2020
Новгородская область,140,4,1,22.04.2020
Алтайский край,136,9,0,22.04.2020
Архангельская область,120,18,1,22.04.2020
Республика Саха (Якутия),116,16,0,22.04.2020
Самарская область,115,15,0,22.04.2020
Вологодская область,114,23,0,22.04.2020
Республика Адыгея,113,26,3,22.04.2020
Челябинская область ,102,38,0,22.04.2020
Республика Калмыкия,88,12,3,22.04.2020
Костромская область,88,7,2,22.04.2020
Республика Хакасия,87,4,0,22.04.2020
Иркутская область,75,13,3,22.04.2020
Магаданская область,67,1,0,22.04.2020
Камчатский край,63,4,0,22.04.2020
Псковская область,62,9,6,22.04.2020
Забайкальский край,61,5,0,22.04.2020
Кемеровская область,56,11,1,22.04.2020
Еврейская автономная область,52,6,0,22.04.2020
Республика Крым,46,23,0,22.04.2020
Омская область,45,17,0,22.04.2020
Томская область,43,4,0,22.04.2020
Республика Карелия,30,0,0,22.04.2020
Амурская область,23,4,0,22.04.2020
Сахалинская область,19,8,0,22.04.2020
Севастополь,19,5,0,22.04.2020
Курганская область,15,3,0,22.04.2020
Республика Тыва,13,0,0,22.04.2020
Республика Алтай,8,0,0,22.04.2020
Чукотский автономный округ,6,0,0,22.04.2020
Ненецкий автономный округ,1,0,0,22.04.2020
Москва,33940,2448,288,23.04.2020
Московская область,7278,186,56,23.04.2020
Санкт-Петербург,2458,368,17,23.04.2020
Нижегородская область,1002,60,7,23.04.2020
Мурманская область,603,61,3,23.04.2020
Ленинградская область,576,36,0,23.04.2020
Республика Коми,542,23,4,23.04.2020
Краснодарский край,539,88,14,23.04.2020
Ростовская область,469,18,0,23.04.2020
Тульская область,461,53,3,23.04.2020
Брянская область,459,68,2,23.04.2020
Республика Дагестан,454,43,11,23.04.2020
Республика Ингушетия,436,50,13,23.04.2020
Рязанская область,429,32,0,23.04.2020
Красноярский край,427,48,5,23.04.2020
Республика Башкортостан,422,38,14,23.04.2020
Республика Татарстан,412,33,0,23.04.2020
Республика Мордовия,385,13,1,23.04.2020
Тверская область,383,15,0,23.04.2020
Калужская область,383,14,8,23.04.2020
Республика Марий Эл,348,46,1,23.04.2020
Чеченская Республика,347,19,6,23.04.2020
Тюменская область,341,34,2,23.04.2020
Владимирская область,339,11,5,23.04.2020
Ставропольский край,332,38,5,23.04.2020
Хабаровский край,310,19,5,23.04.2020
Курская область,308,27,3,23.04.2020
Республика Чувашия,305,14,5,23.04.2020
Пермский край,287,43,4,23.04.2020
Оренбургская область,277,32,2,23.04.2020
Свердловская область,271,65,1,23.04.2020
Ярославская область,263,18,1,23.04.2020
Тамбовская область,263,25,0,23.04.2020
Воронежская область,261,30,7,23.04.2020
Смоленская область,251,4,2,23.04.2020
Орловская область,249,10,2,23.04.2020
Ямало-Ненецкий автономный округ,243,22,1,23.04.2020
Республика Северная Осетия — Алания,242,18,2,23.04.2020
Кировская область,240,20,3,23.04.2020
Ивановская область,239,12,2,23.04.2020
Липецкая область,238,62,2,23.04.2020
Саратовская область,229,19,0,23.04.2020
Ульяновская область,228,5,2,23.04.2020
Кабардино-Балкарская Республика,218,15,1,23.04.2020
Ханты-Мансийский АО,215,36,1,23.04.2020
Пензенская область,211,6,5,23.04.2020
Приморский край,185,13,2,23.04.2020
Белгородская область,176,13,2,23.04.2020
Калининградская область,171,45,1,23.04.2020
Карачаево-Черкесская Республика,169,1,0,23.04.2020
Новосибирская область,168,23,4,23.04.2020
Астраханская область,165,25,3,23.04.2020
Волгоградская область,165,31,2,23.04.2020
Республика Бурятия,163,55,2,23.04.2020
Удмуртская Республика,161,18,3,23.04.2020
Новгородская область,157,6,1,23.04.2020
Алтайский край,144,13,0,23.04.2020
Самарская область,141,15,0,23.04.2020
Республика Саха (Якутия),128,17,0,23.04.2020
Архангельская область,123,18,1,23.04.2020
Вологодская область,120,23,0,23.04.2020
Республика Адыгея,114,32,3,23.04.2020
Челябинская область ,111,38,0,23.04.2020
Костромская область,104,11,2,23.04.2020
Республика Хакасия,99,8,0,23.04.2020
Республика Калмыкия,94,14,3,23.04.2020
Камчатский край,78,5,0,23.04.2020
Магаданская область,76,2,0,23.04.2020
Иркутская область,75,21,3,23.04.2020
Кемеровская область,67,11,1,23.04.2020
Псковская область,66,9,6,23.04.2020
Еврейская автономная область,66,6,0,23.04.2020
Забайкальский край,64,5,0,23.04.2020
Омская область,53,19,0,23.04.2020
Томская область,52,4,0,23.04.2020
Республика Крым,51,23,0,23.04.2020
Республика Карелия,35,1,0,23.04.2020
Севастополь,25,5,0,23.04.2020
Амурская область,25,5,0,23.04.2020
Курганская область,20,3,0,23.04.2020
Сахалинская область,19,8,0,23.04.2020
Республика Тыва,14,0,0,23.04.2020
Республика Алтай,9,0,0,23.04.2020
Чукотский автономный округ,6,0,0,23.04.2020
Ненецкий автономный округ,1,0,0,23.04.2020
Москва,36897,2735,325,24.04.2020
Московская область,7889,235,66,24.04.2020
Санкт-Петербург,2711,411,20,24.04.2020
Нижегородская область,1096,77,8,24.04.2020
Мурманская область,663,64,4,24.04.2020
Краснодарский край,623,104,16,24.04.2020
Ленинградская область,615,56,0,24.04.2020
Республика Дагестан,567,43,11,24.04.2020
Республика Коми,553,28,4,24.04.2020
Ростовская область,533,18,0,24.04.2020
Тульская область,505,53,3,24.04.2020
Брянская область,494,82,2,24.04.2020
Рязанская область,475,32,0,24.04.2020
Республика Ингушетия,474,56,13,24.04.2020
Республика Башкортостан,455,57,14,24.04.2020
Красноярский край,449,48,5,24.04.2020
Калужская область,444,14,8,24.04.2020
Республика Татарстан,426,37,0,24.04.2020
Республика Мордовия,424,18,2,24.04.2020
Тверская область,412,15,0,24.04.2020
Владимирская область,381,11,5,24.04.2020
Республика Марий Эл,377,46,1,24.04.2020
Чеченская Республика,365,23,6,24.04.2020
Ставропольский край,358,44,5,24.04.2020
Тюменская область,357,40,2,24.04.2020
Хабаровский край,351,21,5,24.04.2020
Республика Чувашия,348,17,5,24.04.2020
Курская область,345,36,3,24.04.2020
Пермский край,318,48,4,24.04.2020
Оренбургская область,305,32,2,24.04.2020
Ярославская область,305,19,2,24.04.2020
Свердловская область,304,71,1,24.04.2020
Тамбовская область,298,29,0,24.04.2020
Орловская область,296,10,2,24.04.2020
Воронежская область,291,38,7,24.04.2020
Кировская область,276,27,3,24.04.2020
Республика Северная Осетия — Алания,275,18,2,24.04.2020
Ямало-Ненецкий автономный округ,266,35,1,24.04.2020
Липецкая область,263,62,2,24.04.2020
Смоленская область,262,15,2,24.04.2020
Ульяновская область,253,5,3,24.04.2020
Ивановская область,247,41,2,24.04.2020
Саратовская область,245,30,0,24.04.2020
Кабардино-Балкарская Республика,243,15,1,24.04.2020
Пензенская область,232,6,5,24.04.2020
Приморский край,220,23,2,24.04.2020
Ханты-Мансийский АО,217,39,1,24.04.2020
Новосибирская область,209,24,4,24.04.2020
Белгородская область,202,16,2,24.04.2020
Карачаево-Черкесская Республика,194,1,0,24.04.2020
Калининградская область,189,48,1,24.04.2020
Волгоградская область,186,32,3,24.04.2020
Астраханская область,186,25,3,24.04.2020
Самарская область,185,19,0,24.04.2020
Удмуртская Республика,178,19,4,24.04.2020
Новгородская область,171,8,1,24.04.2020
Челябинская область ,168,43,0,24.04.2020
Республика Бурятия,167,62,2,24.04.2020
Алтайский край,152,15,0,24.04.2020
Республика Саха (Якутия),137,17,0,24.04.2020
Архангельская область,137,18,1,24.04.2020
Вологодская область,129,26,0,24.04.2020
Костромская область,120,11,2,24.04.2020
Республика Адыгея,117,32,3,24.04.2020
